Date,Open,High,Low,Close,Volume
2021-01-01,150.73,151.25,150.18,151.07,5052177
2021-01-04,151.25,153.66,150.72,153.6,19371585
2021-01-05,153.33,156.8,153.18,154.65,11697922
2021-01-06,154.91,156.06,150.07,150.71,10981477
2021-01-07,151.04,153.98,150.22,153.49,31082165
2021-01-08,152.94,155.16,152.12,154.9,32757522
2021-01-11,154.85,154.97,152.76,153.27,48397320
2021-01-12,152.79,156.15,149.88,155.1,47445742
2021-01-13,155.07,157.14,153.41,156.26,13065239
2021-01-14,156.54,158.92,156.07,157.22,6759692
2021-01-15,156.78,158.23,155.58,157.34,45253825
2021-01-18,157.9,160.67,154.76,159.1,39678894
2021-01-19,158.99,162.34,154.6,156.8,43094108
2021-01-20,156.43,158.54,156.31,156.32,20885255
2021-01-21,156.28,159.0,153.42,154.86,15734381
2021-01-22,155.1,158.08,153.75,156.75,17221862
2021-01-25,156.32,157.77,156.1,156.91,8748530
2021-01-26,156.9,157.87,154.91,156.02,40721577
2021-01-27,155.59,158.01,151.57,153.63,19724604
2021-01-28,154.0,155.28,152.77,152.88,46926119
2021-01-29,152.92,154.49,152.16,152.93,14710405
2021-02-01,152.8,154.88,151.52,152.12,49172109
2021-02-02,152.43,157.92,152.18,156.14,17370284
2021-02-03,155.73,163.52,154.67,159.35,46991680
2021-02-04,159.22,159.73,149.17,150.97,15328837
2021-02-05,151.52,153.73,143.61,145.4,10605857
2021-02-08,145.36,146.98,144.04,144.92,44738834
2021-02-09,145.31,146.67,142.84,143.73,5508225
2021-02-10,143.78,144.84,141.07,144.38,7741498
2021-02-11,144.17,147.1,143.05,145.03,38640212
2021-02-12,144.96,152.48,144.03,151.34,5557548
2021-02-15,151.36,153.21,147.59,148.04,39382560
2021-02-16,147.91,148.34,145.35,146.96,35718572
2021-02-17,146.71,153.7,144.35,153.12,11705050
2021-02-18,152.87,155.21,152.26,155.14,34582227
2021-02-19,154.67,157.64,154.57,157.24,30771566
2021-02-22,157.27,158.27,154.82,155.67,46944881
2021-02-23,155.78,155.99,150.02,150.65,33984191
2021-02-24,150.87,152.17,150.28,151.18,15974151
2021-02-25,150.63,151.56,148.93,151.54,22210133
2021-02-26,151.78,152.1,147.44,147.9,42912653
2021-03-01,147.89,148.25,145.03,145.92,12608481
2021-03-02,145.5,145.8,145.05,145.74,48413576
2021-03-03,145.76,148.47,140.93,143.04,20295498
2021-03-04,143.27,143.58,142.04,142.79,17040230
2021-03-05,142.93,144.48,141.49,143.09,17672739
2021-03-08,143.29,143.53,143.07,143.22,34436633
2021-03-09,143.48,145.51,141.79,141.81,5345560
2021-03-10,142.05,144.94,140.95,143.53,34749244
2021-03-11,143.51,146.57,142.24,146.14,17407050
2021-03-12,145.52,149.01,143.45,147.11,49252748
2021-03-15,146.88,147.32,142.6,144.75,16188616
2021-03-16,144.85,147.94,143.99,146.91,9470355
2021-03-17,146.77,149.5,144.08,145.48,35403716
2021-03-18,145.67,148.9,143.79,148.09,47674927
2021-03-19,148.32,149.41,143.73,144.97,33681762
2021-03-22,144.98,148.1,143.92,147.68,22396663
2021-03-23,148.23,148.27,146.27,147.65,35403115
2021-03-24,147.36,149.21,143.77,144.04,7427738
2021-03-25,144.3,144.91,143.05,143.16,18184157
2021-03-26,143.02,144.18,140.42,143.35,17629009
2021-03-29,143.12,145.68,140.78,144.16,31755820
2021-03-30,144.33,145.56,140.63,141.39,13306780
2021-03-31,141.21,144.26,136.34,138.32,10419754
2021-04-01,138.55,139.87,137.57,138.9,12805671
2021-04-02,138.57,138.61,136.45,137.63,39403973
2021-04-05,137.64,138.63,137.35,138.31,33683117
2021-04-06,138.07,141.7,137.44,140.46,47297427
2021-04-07,140.39,140.74,135.17,135.93,32722016
2021-04-08,135.82,138.06,135.23,136.65,39428867
2021-04-09,136.33,140.22,133.7,140.06,37259050
2021-04-12,140.24,140.69,137.24,139.26,37911720
2021-04-13,138.91,139.97,136.37,137.05,16347201
2021-04-14,136.78,140.06,135.07,139.15,30729692
2021-04-15,139.4,141.88,136.64,139.89,28164202
2021-04-16,140.16,142.49,139.64,142.45,39314212
2021-04-19,142.63,144.42,140.79,141.5,12637388
2021-04-20,141.59,144.28,135.91,137.39,25886271
2021-04-21,138.01,140.83,135.79,137.12,36539579
2021-04-22,136.78,138.03,134.18,135.93,16590879
2021-04-23,135.72,140.79,134.93,138.08,8355981
2021-04-26,137.8,139.56,136.91,138.64,40039513
2021-04-27,138.89,139.74,132.79,134.22,25571088
2021-04-28,134.29,134.77,130.27,131.08,28265268
2021-04-29,131.36,134.54,131.04,133.44,13833954
2021-04-30,133.69,135.56,133.23,135.29,46632294
2021-05-03,135.23,135.86,132.75,133.6,29530730
2021-05-04,133.38,134.12,131.78,133.62,31401818
2021-05-05,133.35,135.92,132.07,134.85,26612190
2021-05-06,135.44,136.22,134.14,136.14,29029753
2021-05-07,136.4,140.65,136.11,138.58,40528865
2021-05-10,138.74,139.53,137.11,139.32,6746180
2021-05-11,139.22,140.19,135.8,139.08,32785511
2021-05-12,139.02,139.34,138.3,138.39,14951324
2021-05-13,138.29,142.83,137.31,141.37,48757583
2021-05-14,141.28,143.06,135.04,135.18,37339762
2021-05-17,134.52,137.48,133.11,134.83,15114345
2021-05-18,134.81,136.36,134.8,134.94,24749644
2021-05-19,134.84,135.8,131.1,131.18,15027854
2021-05-20,131.25,132.96,131.24,132.08,46656754
2021-05-21,132.13,133.47,130.03,130.4,47945768
2021-05-24,130.62,132.91,130.24,132.69,32683408
2021-05-25,132.69,134.64,131.11,132.39,49202481
2021-05-26,132.59,135.42,131.56,134.2,16876209
2021-05-27,133.51,139.85,132.55,137.54,33827645
2021-05-28,137.23,140.16,137.01,138.62,16029206
2021-05-31,139.1,140.05,135.68,136.24,7759710
2021-06-01,135.91,136.38,130.9,132.2,18118900
2021-06-02,132.13,137.52,130.22,136.95,24388825
2021-06-03,137.14,137.25,136.35,136.67,14769587
2021-06-04,136.43,136.88,134.14,134.83,17272639
2021-06-07,135.02,135.72,134.92,135.25,28922559
2021-06-08,134.86,135.6,134.75,134.76,27214733
2021-06-09,134.24,137.79,133.54,137.1,8807306
2021-06-10,136.73,140.93,134.87,137.22,43083410
2021-06-11,136.76,139.56,136.55,137.29,31028412
2021-06-14,137.28,137.93,135.15,135.36,6118048
2021-06-15,135.27,138.55,134.9,136.67,24303566
2021-06-16,136.76,137.57,132.59,133.9,10400677
2021-06-17,133.62,137.56,131.89,135.72,44547544
2021-06-18,136.41,140.56,135.12,139.95,25144382
2021-06-21,139.92,140.41,135.55,135.77,45083609
2021-06-22,135.76,136.62,128.2,129.27,38809885
2021-06-23,129.38,131.99,128.59,130.9,18371857
2021-06-24,130.83,139.61,129.88,137.77,7095443
2021-06-25,137.59,138.21,132.13,135.06,13586030
2021-06-28,135.08,135.42,131.1,131.75,47484505
2021-06-29,131.99,133.38,131.44,133.34,23989247
2021-06-30,133.51,135.35,130.25,131.14,26810802
2021-07-01,131.39,132.22,128.97,129.85,27784767
2021-07-02,129.7,129.92,128.32,128.97,8951177
2021-07-05,128.77,132.08,127.49,130.38,36994024
2021-07-06,130.9,132.53,127.29,129.35,9035101
2021-07-07,129.29,131.93,128.96,130.1,48682628
2021-07-08,130.22,131.89,127.97,129.67,9224744
2021-07-09,129.86,130.65,127.44,127.52,45274125
2021-07-12,127.88,129.53,125.92,126.73,23044163
2021-07-13,126.39,127.5,123.73,124.37,22860489
2021-07-14,124.25,125.59,121.89,124.41,22352980
2021-07-15,124.3,125.99,121.44,121.67,29708618
2021-07-16,121.6,121.69,117.88,119.06,33026152
2021-07-19,118.49,123.18,117.75,122.61,31151285
2021-07-20,122.58,122.61,121.7,122.5,26180716
2021-07-21,121.79,122.48,120.84,122.4,44559841
2021-07-22,122.47,124.37,121.22,123.68,13036464
2021-07-23,123.81,124.46,121.66,122.67,9750143
2021-07-26,122.81,122.97,120.66,122.13,11320254
2021-07-27,121.84,126.9,121.54,123.2,41707897
2021-07-28,123.43,124.05,123.03,123.92,23044322
2021-07-29,123.71,124.65,120.08,121.11,16816194
2021-07-30,120.81,123.56,119.98,123.17,38636384
2021-08-02,122.92,123.23,120.58,121.75,9837504
2021-08-03,121.54,122.61,118.23,119.22,34033284
2021-08-04,119.26,119.92,116.83,117.12,49107118
