Date,Open,High,Low,Close,Volume
2021-01-01,200.36,202.12,199.98,200.8,46123212
2021-01-04,200.0,201.19,198.56,198.75,40605308
2021-01-05,198.65,200.42,196.69,197.15,15434854
2021-01-06,197.28,197.31,186.56,187.8,48733987
2021-01-07,188.3,196.77,187.6,194.72,15778452
2021-01-08,195.16,200.97,191.36,199.26,47443171
2021-01-11,199.84,200.36,196.1,198.01,25168317
2021-01-12,198.16,202.05,197.15,201.14,31865729
2021-01-13,201.6,202.65,200.5,202.31,33015980
2021-01-14,202.23,206.61,198.47,200.13,45221579
2021-01-15,200.38,205.02,197.49,204.12,31194245
2021-01-18,204.5,206.19,200.86,202.89,48464582
2021-01-19,203.99,206.52,199.74,201.6,6705468
2021-01-20,201.7,203.01,198.38,198.48,20612212
2021-01-21,197.97,200.91,197.86,200.33,41210428
2021-01-22,200.88,204.6,198.38,199.97,28077116
2021-01-25,199.66,204.89,199.18,202.21,42092372
2021-01-26,202.18,202.72,198.31,199.81,11556723
2021-01-27,199.69,200.4,198.0,200.35,14437089
2021-01-28,199.99,200.39,195.88,196.85,16368656
2021-01-29,197.37,200.7,192.31,200.23,26396971
2021-02-01,200.47,202.04,199.82,201.02,24230941
2021-02-02,200.78,205.2,198.7,202.4,40160998
2021-02-03,202.43,205.5,202.4,204.11,38537612
2021-02-04,203.93,206.45,198.67,200.06,6046635
2021-02-05,200.31,203.88,197.55,203.26,29374472
2021-02-08,203.11,213.7,201.76,211.84,41008183
2021-02-09,211.51,214.37,202.64,205.05,43395758
2021-02-10,204.79,207.28,197.84,198.12,16653117
2021-02-11,197.95,199.16,191.95,192.28,25073835
2021-02-12,192.4,196.96,190.86,195.59,28329915
2021-02-15,195.23,198.24,194.75,196.13,49260668
2021-02-16,196.1,203.08,192.72,200.45,40471183
2021-02-17,200.62,203.97,196.06,203.4,49421657
2021-02-18,204.35,204.4,203.45,204.3,6284055
2021-02-19,204.65,205.79,201.56,205.51,20075232
